date	time	temperture	visibility	wind	rainy	holiday
1/2/2017	0:00	11	1	0	0	1
1/2/2017	1:00	11	1	0	0	1
1/2/2017	2:00	10	1	0	0	1
1/2/2017	3:00	10	1	0	0	1
1/2/2017	4:00	10	1	0	0	1
1/2/2017	5:00	10	1	0	0	1
1/2/2017	6:00	10	1	0	0	1
1/2/2017	7:00	10	1	0	0	1
1/2/2017	8:00	11	1	0	0	1
1/2/2017	9:00	13	1	0	0	1
1/2/2017	10:00	13	1	1	1	1
1/2/2017	11:00	15	1	0	1	1
1/2/2017	12:00	15	1	0	0	1
1/2/2017	13:00	15	1	0	0	1
1/2/2017	14:00	14	1	1	0	1
1/2/2017	15:00	14	1	1	0	1
1/2/2017	16:00	14	1	1	0	1
1/2/2017	17:00	13	1	0	0	1
1/2/2017	18:00	13	1	0	0	1
1/2/2017	19:00	12	1	1	0	1
1/2/2017	20:00	10	1	1	0	1
1/2/2017	21:00	9	1	1	0	1
1/2/2017	22:00	9	1	0	0	1
1/2/2017	23:00	9	1	0	0	1
1/3/2017	0:00	8	1	0	0	0
1/3/2017	1:00	9	1	0	0	0
1/3/2017	2:00	8	1	0	0	0
1/3/2017	3:00	9	0	0	0	0
1/3/2017	4:00	8	0	0	0	0
1/3/2017	5:00	7	0	0	0	0
1/3/2017	6:00	7	0	0	0	0
1/3/2017	7:00	7	0	0	0	0
1/3/2017	8:00	8	0	0	0	0
1/3/2017	9:00	10	0	0	0	0
1/3/2017	10:00	11	0	0	0	0
1/3/2017	11:00	11	0	0	0	0
1/3/2017	12:00	12	1	0	0	0
1/3/2017	13:00	12	1	0	0	0
1/3/2017	14:00	13	1	0	0	0
1/3/2017	15:00	14	1	0	0	0
1/3/2017	16:00	14	1	0	0	0
1/3/2017	17:00	13	1	1	0	0
1/3/2017	18:00	12	1	1	0	0
1/3/2017	19:00	11	1	0	0	0
1/3/2017	20:00	11	1	0	0	0
1/3/2017	21:00	11	1	0	0	0
1/3/2017	22:00	11	1	0	0	0
1/3/2017	23:00	11	1	0	0	0
1/4/2017	0:00	11	1	0	0	0
1/4/2017	1:00	11	1	0	0	0
1/4/2017	2:00	11	1	0	0	0
1/4/2017	3:00	12	1	0	0	0
1/4/2017	4:00	12	1	0	0	0
1/4/2017	5:00	12	1	0	0	0
1/4/2017	6:00	11	1	0	0	0
1/4/2017	7:00	11	1	0	0	0
1/4/2017	8:00	12	1	0	0	0
1/4/2017	9:00	13	1	0	0	0
1/4/2017	10:00	15	1	0	0	0
1/4/2017	11:00	15	1	0	0	0
1/4/2017	12:00	16	1	0	0	0
1/4/2017	13:00	16	1	0	0	0
1/4/2017	14:00	16	1	1	0	0
1/4/2017	15:00	15	1	1	0	0
1/4/2017	16:00	15	1	1	0	0
1/4/2017	17:00	14	1	1	0	0
1/4/2017	18:00	14	1	1	0	0
1/4/2017	19:00	14	1	1	1	0
1/4/2017	20:00	13	1	1	0	0
1/4/2017	21:00	13	1	1	1	0
1/4/2017	22:00	13	1	1	1	0
1/4/2017	23:00	12	1	1	1	0
1/5/2017	0:00	12	1	1	1	0
1/5/2017	1:00	12	1	1	1	0
1/5/2017	2:00	11	1	1	1	0
1/5/2017	3:00	11	1	1	1	0
1/5/2017	4:00	11	1	1	1	0
1/5/2017	5:00	11	1	1	1	0
1/5/2017	6:00	11	1	1	1	0
1/5/2017	7:00	11	1	1	1	0
1/5/2017	8:00	10	1	1	1	0
1/5/2017	9:00	11	1	1	1	0
1/5/2017	10:00	11	1	1	1	0
1/5/2017	11:00	10	1	1	1	0
1/5/2017	12:00	11	1	1	1	0
1/5/2017	13:00	11	1	1	1	0
1/5/2017	14:00	11	1	1	1	0
1/5/2017	15:00	11	1	1	1	0
1/5/2017	16:00	11	1	1	1	0
1/5/2017	17:00	10	1	1	1	0
1/5/2017	18:00	11	1	1	1	0
1/5/2017	19:00	10	1	1	1	0
1/5/2017	20:00	10	1	1	1	0
1/5/2017	21:00	10	1	1	1	0
1/5/2017	22:00	10	1	1	1	0
1/5/2017	23:00	10	1	1	1	0
1/6/2017	0:00	10	1	1	1	0
1/6/2017	1:00	10	1	1	1	0
1/6/2017	2:00	10	1	1	1	0
1/6/2017	3:00	10	1	1	0	0
1/6/2017	4:00	10	1	1	1	0
1/6/2017	5:00	10	1	1	1	0
1/6/2017	6:00	11	1	1	1	0
1/6/2017	7:00	11	1	0	1	0
1/6/2017	8:00	11	0	0	1	0
1/6/2017	9:00	12	1	1	1	0
1/6/2017	10:00	12	1	0	0	0
1/6/2017	11:00	13	1	0	0	0
1/6/2017	12:00	14	1	0	0	0
1/6/2017	13:00	14	1	0	0	0
1/6/2017	14:00	14	1	0	0	0
1/6/2017	15:00	14	1	0	0	0
1/6/2017	16:00	14	1	1	1	0
1/6/2017	17:00	13	1	1	1	0
1/6/2017	18:00	13	1	1	1	0
1/6/2017	19:00	13	1	1	1	0
1/6/2017	20:00	13	1	1	1	0
1/6/2017	21:00	13	1	1	1	0
1/6/2017	22:00	13	1	1	1	0
1/6/2017	23:00	12	1	1	1	0
1/7/2017	0:00	12	1	1	1	1
1/7/2017	1:00	12	1	1	1	1
1/7/2017	2:00	13	1	1	1	1
1/7/2017	3:00	13	1	1	1	1
1/7/2017	4:00	12	1	1	1	1
1/7/2017	5:00	13	1	1	1	1
1/7/2017	6:00	13	1	1	1	1
1/7/2017	7:00	13	1	1	1	1
1/7/2017	8:00	13	1	1	0	1
1/7/2017	9:00	13	1	1	1	1
1/7/2017	10:00	13	1	1	0	1
1/7/2017	11:00	13	1	1	0	1
1/7/2017	12:00	14	1	0	1	1
1/7/2017	13:00	14	1	0	1	1
1/7/2017	14:00	14	1	0	1	1
1/7/2017	15:00	14	1	0	1	1
1/7/2017	16:00	14	1	1	1	1
1/7/2017	17:00	12	1	1	1	1
1/7/2017	18:00	11	1	1	1	1
1/7/2017	19:00	11	1	1	1	1
1/7/2017	20:00	10	1	1	1	1
1/7/2017	21:00	10	1	1	0	1
1/7/2017	22:00	9	1	1	0	1
1/7/2017	23:00	9	1	1	0	1
1/8/2017	0:00	9	1	1	0	1
1/8/2017	1:00	8	1	1	0	1
1/8/2017	2:00	8	1	1	0	1
1/8/2017	3:00	8	1	1	0	1
1/8/2017	4:00	8	1	1	0	1
1/8/2017	5:00	8	1	1	0	1
1/8/2017	6:00	8	1	1	0	1
1/8/2017	7:00	8	1	1	0	1
1/8/2017	8:00	8	1	1	0	1
1/8/2017	9:00	8	1	1	0	1
1/8/2017	10:00	8	1	1	0	1
1/8/2017	11:00	8	1	1	0	1
1/8/2017	12:00	8	1	1	0	1
1/8/2017	13:00	8	1	1	0	1
1/8/2017	14:00	8	1	1	0	1
1/8/2017	15:00	8	0	1	0	1
1/8/2017	16:00	8	1	1	0	1
1/8/2017	17:00	8	1	1	0	1
1/8/2017	18:00	8	1	1	0	1
1/8/2017	19:00	8	1	1	1	1
1/8/2017	20:00	7	1	1	1	1
1/8/2017	21:00	7	1	1	1	1
1/8/2017	22:00	7	1	1	1	1
1/8/2017	23:00	7	1	1	1	1
1/9/2017	0:00	7	1	1	0	0
1/9/2017	1:00	7	1	1	0	0
1/9/2017	2:00	6	1	1	0	0
1/9/2017	3:00	6	1	1	0	0
1/9/2017	4:00	5	1	1	0	0
1/9/2017	5:00	5	1	1	0	0
1/9/2017	6:00	5	1	1	0	0
1/9/2017	7:00	5	1	1	0	0
1/9/2017	8:00	5	1	1	0	0
1/9/2017	9:00	6	1	1	0	0
1/9/2017	10:00	7	1	1	0	0
1/9/2017	11:00	7	1	1	0	0
1/9/2017	12:00	8	1	1	0	0
1/9/2017	13:00	9	1	1	0	0
1/9/2017	14:00	8	1	1	0	0
1/9/2017	15:00	7	1	1	0	0
1/9/2017	16:00	7	1	1	0	0
1/9/2017	17:00	7	1	1	0	0
1/9/2017	18:00	7	1	1	0	0
1/9/2017	19:00	6	1	1	0	0
1/9/2017	20:00	6	1	0	0	0
1/9/2017	21:00	6	1	0	0	0
1/9/2017	22:00	6	1	0	0	0
1/9/2017	23:00	5	1	0	0	0
1/10/2017	0:00	5	1	0	0	0
1/10/2017	1:00	4	1	0	0	0
1/10/2017	2:00	4	1	0	0	0
1/10/2017	3:00	4	1	0	0	0
1/10/2017	4:00	4	1	0	0	0
1/10/2017	5:00	5	1	0	0	0
1/10/2017	6:00	4	1	0	0	0
1/10/2017	7:00	4	1	0	0	0
1/10/2017	8:00	6	1	0	0	0
1/10/2017	9:00	7	1	0	0	0
1/10/2017	10:00	8	1	1	0	0
1/10/2017	11:00	8	1	1	0	0
1/10/2017	12:00	9	1	1	0	0
1/10/2017	13:00	8	1	1	0	0
1/10/2017	14:00	8	1	1	0	0
1/10/2017	15:00	8	1	1	0	0
1/10/2017	16:00	8	1	1	0	0
1/10/2017	17:00	7	1	1	0	0
1/10/2017	18:00	7	1	1	0	0
1/10/2017	19:00	7	1	1	0	0
1/10/2017	20:00	7	1	1	0	0
1/10/2017	21:00	7	1	0	0	0
1/10/2017	22:00	7	1	1	0	0
1/10/2017	23:00	6	1	0	0	0
1/11/2017	0:00	6	1	0	1	0
1/11/2017	1:00	6	1	0	0	0
1/11/2017	2:00	6	1	1	0	0
1/11/2017	3:00	6	1	0	0	0
1/11/2017	4:00	6	1	1	0	0
1/11/2017	5:00	6	1	1	0	0
1/11/2017	6:00	6	1	0	0	0
1/11/2017	7:00	6	1	1	0	0
1/11/2017	8:00	6	1	1	0	0
1/11/2017	9:00	7	1	0	0	0
1/11/2017	10:00	8	1	1	0	0
1/11/2017	11:00	8	1	1	0	0
1/11/2017	12:00	8	1	1	0	0
1/11/2017	13:00	8	1	0	0	0
1/11/2017	14:00	8	1	1	0	0
1/11/2017	15:00	8	1	0	0	0
1/11/2017	16:00	8	1	1	0	0
1/11/2017	17:00	8	1	0	0	0
1/11/2017	18:00	8	1	0	0	0
1/11/2017	19:00	7	1	0	0	0
1/11/2017	20:00	7	1	0	0	0
1/11/2017	21:00	7	1	0	0	0
1/11/2017	22:00	7	1	0	0	0
1/11/2017	23:00	7	1	0	0	0
1/12/2017	0:00	6	1	0	0	0
1/12/2017	1:00	6	1	0	0	0
1/12/2017	2:00	6	1	0	0	0
1/12/2017	3:00	6	1	0	1	0
1/12/2017	4:00	5	1	1	1	0
1/12/2017	5:00	5	1	0	0	0
1/12/2017	6:00	5	1	0	1	0
1/12/2017	7:00	4	1	0	1	0
1/12/2017	8:00	4	1	0	0	0
1/12/2017	9:00	5	1	0	1	0
1/12/2017	10:00	5	1	0	0	0
1/12/2017	11:00	6	1	0	0	0
1/12/2017	12:00	6	1	0	0	0
1/12/2017	13:00	7	1	1	0	0
1/12/2017	14:00	7	1	1	0	0
1/12/2017	15:00	7	1	1	0	0
1/12/2017	16:00	7	1	1	0	0
1/12/2017	17:00	7	1	1	0	0
1/12/2017	18:00	6	1	1	0	0
1/12/2017	19:00	6	1	1	0	0
1/12/2017	20:00	6	1	1	0	0
1/12/2017	21:00	6	1	0	0	0
1/12/2017	22:00	6	1	0	0	0
1/12/2017	23:00	5	1	0	0	0
1/13/2017	0:00	5	1	0	0	0
1/13/2017	1:00	3	1	0	0	0
1/13/2017	2:00	3	1	0	0	0
1/13/2017	3:00	4	1	0	0	0
1/13/2017	4:00	4	1	0	0	0
1/13/2017	5:00	3	1	0	0	0
1/13/2017	6:00	2	1	0	0	0
1/13/2017	7:00	3	1	0	0	0
1/13/2017	8:00	4	1	0	0	0
1/13/2017	9:00	6	1	1	0	0
1/13/2017	10:00	7	1	1	0	0
1/13/2017	11:00	9	1	1	0	0
1/13/2017	12:00	10	1	1	0	0
1/13/2017	13:00	11	1	1	0	0
1/13/2017	14:00	11	1	1	0	0
1/13/2017	15:00	10	1	1	0	0
1/13/2017	16:00	10	1	1	0	0
1/13/2017	17:00	9	1	1	0	0
1/13/2017	18:00	8	1	1	0	0
1/13/2017	19:00	6	1	0	0	0
1/13/2017	20:00	7	1	1	0	0
1/13/2017	21:00	7	1	1	0	0
1/13/2017	22:00	6	1	1	0	0
1/13/2017	23:00	6	1	1	0	0
1/14/2017	0:00	4	1	0	0	1
1/14/2017	1:00	3	1	1	0	1
1/14/2017	2:00	3	1	1	0	1
1/14/2017	3:00	3	1	1	0	1
1/14/2017	4:00	3	1	1	0	1
1/14/2017	5:00	2	1	1	0	1
1/14/2017	6:00	1	1	0	0	1
1/14/2017	7:00	2	1	1	0	1
1/14/2017	8:00	4	1	0	0	1
1/14/2017	9:00	6	1	1	0	1
1/14/2017	10:00	6	1	1	0	1
1/14/2017	11:00	7	1	1	0	1
1/14/2017	12:00	8	1	1	0	1
1/14/2017	13:00	8	1	1	0	1
1/14/2017	14:00	8	1	1	0	1
1/14/2017	15:00	7	1	1	0	1
1/14/2017	16:00	7	1	1	0	1
1/14/2017	17:00	5	1	1	0	1
1/14/2017	18:00	5	1	1	0	1
1/14/2017	19:00	5	1	1	0	1
1/14/2017	20:00	5	1	1	0	1
1/14/2017	21:00	4	1	0	0	1
1/14/2017	22:00	4	1	0	0	1
1/14/2017	23:00	3	1	0	0	1
1/15/2017	0:00	4	1	1	0	1
1/15/2017	1:00	4	1	0	0	1
1/15/2017	2:00	4	1	1	0	1
1/15/2017	3:00	4	1	1	0	1
1/15/2017	4:00	4	1	1	0	1
1/15/2017	5:00	3	1	1	0	1
1/15/2017	6:00	1	1	1	0	1
1/15/2017	7:00	2	1	1	0	1
1/15/2017	8:00	4	1	1	0	1
1/15/2017	9:00	6	1	1	0	1
1/15/2017	10:00	7	1	1	0	1
1/15/2017	11:00	8	1	1	0	1
1/15/2017	12:00	7	1	1	0	1
1/15/2017	13:00	7	1	1	0	1
1/15/2017	14:00	7	1	1	0	1
1/15/2017	15:00	6	1	1	0	1
1/15/2017	16:00	6	1	1	0	1
1/15/2017	17:00	5	1	1	0	1
1/15/2017	18:00	5	1	1	0	1
1/15/2017	19:00	5	1	1	0	1
1/15/2017	20:00	5	1	1	0	1
1/15/2017	21:00	5	1	1	0	1
1/15/2017	22:00	4	1	1	0	1
1/15/2017	23:00	4	1	0	0	1
1/16/2017	0:00	4	1	0	0	0
1/16/2017	1:00	4	1	0	0	0
1/16/2017	2:00	4	1	0	0	0
1/16/2017	3:00	4	1	0	0	0
1/16/2017	4:00	4	1	1	0	0
1/16/2017	5:00	3	1	1	0	0
1/16/2017	6:00	3	1	0	0	0
1/16/2017	7:00	2	1	0	0	0
1/16/2017	8:00	3	1	0	0	0
1/16/2017	9:00	6	1	1	0	0
1/16/2017	10:00	7	1	0	0	0
1/16/2017	11:00	7	1	0	0	0
1/16/2017	12:00	8	1	1	0	0
1/16/2017	13:00	8	1	0	0	0
1/16/2017	14:00	8	1	1	0	0
1/16/2017	15:00	9	1	0	0	0
1/16/2017	16:00	8	1	1	0	0
1/16/2017	17:00	7	1	1	0	0
1/16/2017	18:00	6	1	1	0	0
1/16/2017	19:00	6	1	1	0	0
1/16/2017	20:00	6	1	0	0	0
1/16/2017	21:00	5	1	0	0	0
1/16/2017	22:00	5	1	0	0	0
1/16/2017	23:00	5	1	0	0	0
1/17/2017	0:00	4	1	0	0	0
1/17/2017	1:00	4	1	0	0	0
1/17/2017	2:00	3	1	0	0	0
1/17/2017	3:00	3	1	0	0	0
1/17/2017	4:00	4	1	0	0	0
1/17/2017	5:00	4	1	0	0	0
1/17/2017	6:00	3	1	0	0	0
1/17/2017	7:00	4	1	0	0	0
1/17/2017	8:00	6	1	0	0	0
1/17/2017	9:00	8	1	0	0	0
1/17/2017	10:00	9	1	1	0	0
1/17/2017	11:00	10	1	0	0	0
1/17/2017	12:00	10	1	1	0	0
1/17/2017	13:00	9	1	0	0	0
1/17/2017	14:00	9	1	0	0	0
1/17/2017	15:00	10	1	0	0	0
1/17/2017	16:00	9	1	0	1	0
1/17/2017	17:00	9	1	0	0	0
1/17/2017	18:00	9	1	0	0	0
1/17/2017	19:00	9	1	0	0	0
1/17/2017	20:00	9	1	0	1	0
1/17/2017	21:00	9	1	0	0	0
1/17/2017	22:00	9	1	1	0	0
1/17/2017	23:00	9	1	0	0	0
1/18/2017	0:00	9	1	0	1	0
1/18/2017	1:00	9	1	0	1	0
1/18/2017	2:00	8	1	0	1	0
1/18/2017	3:00	8	1	0	1	0
1/18/2017	4:00	8	1	0	1	0
1/18/2017	5:00	8	1	0	1	0
1/18/2017	6:00	8	1	1	1	0
1/18/2017	7:00	8	1	1	1	0
1/18/2017	8:00	9	1	1	0	0
1/18/2017	9:00	9	1	1	1	0
1/18/2017	10:00	8	1	1	1	0
1/18/2017	11:00	8	1	1	1	0
1/18/2017	12:00	8	1	0	1	0
1/18/2017	13:00	8	1	1	1	0
1/18/2017	14:00	8	1	1	0	0
1/18/2017	15:00	8	1	1	0	0
1/18/2017	16:00	8	1	1	1	0
1/18/2017	17:00	8	1	1	1	0
1/18/2017	18:00	8	1	1	1	0
1/18/2017	19:00	8	1	1	1	0
1/18/2017	20:00	8	1	1	1	0
1/18/2017	21:00	8	1	1	1	0
1/18/2017	22:00	8	1	0	1	0
1/18/2017	23:00	8	1	0	0	0
1/19/2017	0:00	8	1	0	0	0
1/19/2017	1:00	8	1	1	0	0
1/19/2017	2:00	7	1	0	1	0
1/19/2017	3:00	7	1	0	0	0
1/19/2017	4:00	7	1	0	0	0
1/19/2017	5:00	7	1	0	0	0
1/19/2017	6:00	7	1	0	0	0
1/19/2017	7:00	7	1	0	0	0
1/19/2017	8:00	7	1	0	0	0
1/19/2017	9:00	8	1	0	0	0
1/19/2017	10:00	8	1	1	0	0
1/19/2017	11:00	8	1	0	0	0
1/19/2017	12:00	8	1	0	0	0
1/19/2017	13:00	8	1	0	0	0
1/19/2017	14:00	8	1	0	0	0
1/19/2017	15:00	8	1	0	0	0
1/19/2017	16:00	8	1	0	0	0
1/19/2017	17:00	8	1	0	0	0
1/19/2017	18:00	8	1	1	0	0
1/19/2017	19:00	8	1	1	0	0
1/19/2017	20:00	8	1	1	0	0
1/19/2017	21:00	7	1	1	0	0
1/19/2017	22:00	8	1	1	0	0
1/19/2017	23:00	7	1	1	0	0
1/20/2017	0:00	6	1	2	0	0
1/20/2017	1:00	5	1	2	0	0
1/20/2017	2:00	4	1	1	0	0
1/20/2017	3:00	3	1	1	0	0
1/20/2017	4:00	3	1	1	0	0
1/20/2017	5:00	2	1	1	0	0
1/20/2017	6:00	2	1	1	0	0
1/20/2017	7:00	1	1	1	0	0
1/20/2017	8:00	2	1	2	0	0
1/20/2017	9:00	2	1	2	0	0
1/20/2017	10:00	3	1	2	0	0
1/20/2017	11:00	4	1	2	0	0
1/20/2017	12:00	4	1	1	0	0
1/20/2017	13:00	4	1	2	0	0
1/20/2017	14:00	4	1	1	0	0
1/20/2017	15:00	4	1	1	0	0
1/20/2017	16:00	3	1	1	0	0
1/20/2017	17:00	2	1	1	0	0
1/20/2017	18:00	1	1	1	0	0
1/20/2017	19:00	1	1	1	0	0
1/20/2017	20:00	0	1	1	0	0
1/20/2017	21:00	0	1	1	0	0
1/20/2017	22:00	-2	1	0	0	0
1/20/2017	23:00	-2	1	0	0	0
1/21/2017	0:00	-2	1	0	0	1
1/21/2017	1:00	-2	1	0	0	1
1/21/2017	2:00	-1	1	0	0	1
1/21/2017	3:00	-2	1	0	0	1
1/21/2017	4:00	-2	1	0	0	1
1/21/2017	5:00	-2	1	0	0	1
1/21/2017	6:00	-2	1	0	0	1
1/21/2017	7:00	-3	1	0	0	1
1/21/2017	8:00	0	1	0	0	1
1/21/2017	9:00	1	1	0	0	1
1/21/2017	10:00	4	1	0	0	1
1/21/2017	11:00	5	1	0	0	1
1/21/2017	12:00	6	1	0	0	1
1/21/2017	13:00	6	1	0	0	1
1/21/2017	14:00	8	1	0	0	1
1/21/2017	15:00	7	1	1	0	1
1/21/2017	16:00	7	1	1	0	1
1/21/2017	17:00	6	1	1	0	1
1/21/2017	18:00	5	1	0	0	1
1/21/2017	19:00	4	1	0	0	1
1/21/2017	20:00	3	1	1	0	1
1/21/2017	21:00	3	1	0	0	1
1/21/2017	22:00	3	1	0	0	1
1/21/2017	23:00	3	1	0	0	1
1/22/2017	0:00	3	1	0	0	0
1/22/2017	1:00	2	1	0	0	0
1/22/2017	2:00	0	1	0	0	0
1/22/2017	3:00	0	1	0	0	0
1/22/2017	4:00	1	1	0	0	0
1/22/2017	5:00	0	1	0	0	0
1/22/2017	6:00	-1	1	0	0	0
1/22/2017	7:00	0	1	1	0	0
1/22/2017	8:00	2	1	1	0	0
1/22/2017	9:00	3	1	1	0	0
1/22/2017	10:00	5	1	1	0	0
1/22/2017	11:00	6	1	1	0	0
1/22/2017	12:00	7	1	1	0	0
1/22/2017	13:00	7	1	1	0	0
1/22/2017	14:00	7	1	1	0	0
1/22/2017	15:00	7	1	1	0	0
1/22/2017	16:00	6	1	1	0	0
1/22/2017	17:00	5	1	1	0	0
1/22/2017	18:00	4	1	1	0	0
1/22/2017	19:00	2	1	1	0	0
1/22/2017	20:00	3	1	1	0	0
1/22/2017	21:00	3	1	0	0	0
1/22/2017	22:00	2	1	0	0	0
1/22/2017	23:00	2	1	1	0	0
1/23/2017	0:00	2	1	0	0	0
1/23/2017	1:00	0	1	0	0	0
1/23/2017	2:00	0	1	0	0	0
1/23/2017	3:00	-1	1	0	0	0
1/23/2017	4:00	-2	1	0	0	0
1/23/2017	5:00	-2	1	0	0	0
1/23/2017	6:00	-1	1	0	0	0
1/23/2017	7:00	-1	1	0	0	0
1/23/2017	8:00	1	1	0	0	0
1/23/2017	9:00	4	1	1	0	0
1/23/2017	10:00	5	1	1	0	0
1/23/2017	11:00	6	1	1	0	0
1/23/2017	12:00	7	1	0	0	0
1/23/2017	13:00	7	1	1	0	0
1/23/2017	14:00	7	1	1	0	0
1/23/2017	15:00	7	1	1	0	0
1/23/2017	16:00	6	1	0	0	0
1/23/2017	17:00	5	1	1	0	0
1/23/2017	18:00	5	1	1	0	0
1/23/2017	19:00	4	1	1	0	0
1/23/2017	20:00	3	1	1	0	0
1/23/2017	21:00	3	1	0	0	0
1/23/2017	22:00	2	1	0	0	0
1/23/2017	23:00	2	1	0	0	0
1/24/2017	0:00	2	1	0	0	0
1/24/2017	1:00	2	1	0	0	0
1/24/2017	2:00	1	1	0	0	0
1/24/2017	3:00	1	1	0	0	0
1/24/2017	4:00	1	1	0	0	0
